id,cycle,setting2,s1,s2,s10,s11,s14,s16,s19,RUL
1,1,0.84,449.44,555.32,1.02,42.02,8048.56,0.02,100.0,148
1,2,0.8408,445.0,549.9,1.02,42.2,8072.3,0.02,100.0,147
1,3,0.6218,462.54,537.31,0.94,36.69,7864.87,0.02,84.93,146
1,4,0.8416,445.0,549.51,1.02,41.96,8068.66,0.02,100.0,145
1,5,0.6203,462.54,537.07,0.94,36.89,7861.23,0.02,84.93,144
1,6,0.6205,462.54,537.02,0.94,36.78,7868.87,0.02,84.93,143
1,7,0.8409,445.0,549.74,1.02,42.19,8075.54,0.02,100.0,142
1,8,0.7002,491.19,607.44,1.08,44.27,8049.26,0.02,100.0,141
1,9,0.8407,445.0,549.33,1.02,42.3,8065.78,0.02,100.0,140
1,10,0.84,445.0,549.33,1.02,42.02,8069.11,0.02,100.0,139
1,11,0.84,445.0,549.81,1.02,42.05,8076.44,0.02,100.0,138
1,12,0.001,518.67,642.7,1.3,47.34,8121.09,0.03,100.0,137
1,13,0.7,491.19,607.67,1.08,44.43,8048.52,0.02,100.0,136
1,14,0.8407,445.0,549.47,1.02,42.11,8070.37,0.02,100.0,135
1,15,0.2513,489.05,604.57,1.26,45.49,8118.56,0.03,100.0,134
1,16,0.8419,449.44,555.56,1.02,41.74,8053.94,0.02,100.0,133
1,17,0.6217,462.54,536.25,0.94,36.73,7857.51,0.02,84.93,132
1,18,0.8404,449.44,555.45,1.02,41.98,8052.73,0.02,100.0,131
1,19,0.84,445.0,549.07,1.02,42.02,8070.7,0.02,100.0,130
1,20,0.7015,491.19,607.9,1.08,44.43,8047.01,0.02,100.0,129
1,21,0.8403,445.0,549.68,1.02,42.28,8071.57,0.02,100.0,128
1,22,0.8419,445.0,549.58,1.02,42.01,8069.93,0.02,100.0,127
1,23,0.8416,445.0,549.44,1.02,41.97,8070.05,0.02,100.0,126
1,24,0.84,445.0,550.18,1.02,42.03,8069.53,0.02,100.0,125
1,25,0.84,445.0,549.42,1.02,42.25,8066.98,0.02,100.0,124
1,26,0.8402,445.0,549.36,1.02,42.16,8072.18,0.02,100.0,123
1,27,0.6206,462.54,537.01,0.94,36.77,7859.12,0.02,84.93,122
1,28,0.0,518.67,643.04,1.3,47.65,8122.45,0.03,100.0,121
1,29,0.0,518.67,642.48,1.3,47.33,8121.25,0.03,100.0,120
1,30,0.7011,491.19,607.78,1.08,44.35,8043.8,0.02,100.0,119
1,31,0.25,489.05,605.13,1.26,45.41,8117.91,0.03,100.0,118
1,32,0.25,489.05,604.69,1.26,45.32,8118.93,0.03,100.0,117
1,33,0.0,518.67,643.13,1.3,47.61,8126.15,0.03,100.0,116
1,34,0.0008,518.67,642.24,1.3,47.57,8116.33,0.03,100.0,115
1,35,0.251,489.05,605.25,1.26,45.48,8114.43,0.03,100.0,114
1,36,0.62,462.54,536.95,0.94,36.91,7867.76,0.02,84.93,113
1,37,0.25,489.05,604.84,1.26,45.41,8109.56,0.03,100.0,112
1,38,0.62,462.54,536.76,0.94,36.82,7862.53,0.02,84.93,111
1,39,0.6211,462.54,536.66,0.94,36.57,7865.11,0.02,84.93,110
1,40,0.25,489.05,605.17,1.26,45.57,8111.91,0.03,100.0,109
1,41,0.6211,462.54,536.74,0.94,36.95,7862.39,0.02,84.93,108
1,42,0.84,449.44,555.34,1.02,41.9,8057.2,0.02,100.0,107
1,43,0.8409,445.0,549.78,1.02,41.95,8070.12,0.02,100.0,106
1,44,0.0,518.67,642.57,1.3,47.65,8128.64,0.03,100.0,105
1,45,0.84,449.44,555.28,1.02,41.91,8051.91,0.02,100.0,104
1,46,0.84,445.0,549.44,1.02,42.15,8071.22,0.02,100.0,103
1,47,0.25,489.05,605.01,1.26,45.52,8115.46,0.03,100.0,102
1,48,0.0014,518.67,643.26,1.3,47.54,8123.03,0.03,100.0,101
1,49,0.8402,445.0,549.93,1.02,42.11,8068.7,0.02,100.0,100
1,50,0.8401,449.44,554.89,1.02,41.93,8054.31,0.02,100.0,99
1,51,0.621,462.54,536.75,0.94,36.63,7863.73,0.02,84.93,98
1,52,0.8404,445.0,549.86,1.02,42.04,8067.52,0.02,100.0,97
1,53,0.25,489.05,605.05,1.26,45.29,8114.12,0.03,100.0,96
1,54,0.0,518.67,642.82,1.3,47.64,8122.66,0.03,100.0,95
1,55,0.0,518.67,642.91,1.3,47.52,8120.28,0.03,100.0,94
1,56,0.84,445.0,549.51,1.02,42.23,8073.22,0.02,100.0,93
1,57,0.7003,491.19,606.65,1.08,44.4,8048.96,0.02,100.0,92
1,58,0.84,449.44,555.58,1.02,42.06,8056.45,0.02,100.0,91
1,59,0.8412,445.0,549.36,1.02,42.2,8064.02,0.02,100.0,90
1,60,0.62,462.54,537.03,0.94,36.74,7864.81,0.02,84.93,89
1,61,0.7,491.19,607.51,1.07,44.47,8045.61,0.02,100.0,88
1,62,0.0,518.67,643.24,1.3,47.54,8117.75,0.03,100.0,87
1,63,0.8413,445.0,550.1,1.02,42.27,8066.56,0.02,100.0,86
1,64,0.8406,449.44,555.71,1.02,42.2,8055.84,0.02,100.0,85
1,65,0.0006,518.67,642.62,1.3,47.55,8127.28,0.03,100.0,84
1,66,0.84,449.44,555.55,1.02,42.25,8055.26,0.02,100.0,83
1,67,0.25,489.05,605.01,1.26,45.64,8111.05,0.03,100.0,82
1,68,0.0,518.67,642.88,1.3,47.58,8120.24,0.03,100.0,81
1,69,0.0009,518.67,642.48,1.3,47.63,8125.99,0.03,100.0,80
1,70,0.8411,445.0,549.91,1.02,42.04,8073.45,0.02,100.0,79
1,71,0.7,491.19,607.44,1.08,44.5,8054.48,0.02,100.0,78
1,72,0.62,462.54,536.96,0.94,36.92,7859.5,0.02,84.93,77
1,73,0.6217,462.54,536.57,0.94,36.85,7864.94,0.02,84.93,76
1,74,0.702,491.19,607.16,1.08,44.36,8048.84,0.03,100.0,75
1,75,0.62,462.54,536.43,0.94,36.81,7864.99,0.02,84.93,74
1,76,0.62,462.54,537.02,0.94,36.81,7863.25,0.02,84.93,73
1,77,0.8405,445.0,549.99,1.02,42.07,8071.77,0.02,100.0,72
1,78,0.62,462.54,536.41,0.94,36.71,7865.97,0.02,84.93,71
1,79,0.84,445.0,549.7,1.02,42.15,8065.68,0.02,100.0,70
1,80,0.84,445.0,549.39,1.02,42.19,8069.07,0.02,100.0,69
1,81,0.7,491.19,607.61,1.08,44.52,8049.96,0.02,100.0,68
1,82,0.0008,518.67,643.26,1.3,47.84,8126.13,0.03,100.0,67
1,83,0.84,445.0,549.11,1.02,42.07,8068.96,0.02,100.0,66
1,84,0.84,445.0,549.65,1.02,42.26,8069.87,0.02,100.0,65
1,85,0.0011,518.67,642.74,1.3,47.68,8118.69,0.03,100.0,64
1,86,0.84,445.0,549.23,1.02,42.1,8074.9,0.02,100.0,63
1,87,0.8413,445.0,549.92,1.02,42.3,8072.4,0.02,100.0,62
1,88,0.8416,449.44,555.62,1.02,42.1,8051.96,0.02,100.0,61
1,89,0.2514,489.05,605.25,1.26,45.65,8113.05,0.03,100.0,60
1,90,0.0,518.67,642.95,1.3,47.61,8127.02,0.03,100.0,59
1,91,0.62,462.54,536.99,0.94,36.97,7863.25,0.02,84.93,58
1,92,0.8411,445.0,548.99,1.02,42.26,8072.97,0.02,100.0,57
1,93,0.7009,491.19,608.0,1.08,44.58,8054.57,0.02,100.0,56
1,94,0.84,445.0,550.1,1.02,42.11,8066.0,0.02,100.0,55
1,95,0.8403,449.44,555.64,1.02,42.0,8058.75,0.02,100.0,54
1,96,0.8402,445.0,549.65,1.02,42.2,8067.54,0.02,100.0,53
1,97,0.8413,445.0,549.43,1.02,42.39,8071.46,0.02,100.0,52
1,98,0.0015,518.67,643.26,1.3,47.49,8124.58,0.03,100.0,51
1,99,0.2502,489.05,604.97,1.26,45.62,8119.05,0.03,100.0,50
1,100,0.7,491.19,607.6,1.08,44.83,8048.36,0.03,100.0,49
1,101,0.84,445.0,549.99,1.02,42.19,8066.89,0.02,100.0,48
1,102,0.84,449.44,555.9,1.02,42.19,8059.02,0.02,100.0,47
1,103,0.701,491.19,607.32,1.08,44.51,8045.91,0.03,100.0,46
1,104,0.84,449.44,556.29,1.02,42.13,8056.86,0.02,100.0,45
1,105,0.7,491.19,607.04,1.08,44.71,8045.38,0.03,100.0,44
1,106,0.0019,518.67,643.12,1.3,47.65,8122.68,0.03,100.0,43
1,107,0.8411,449.44,555.85,1.02,42.1,8064.94,0.02,100.0,42
1,108,0.8414,445.0,550.09,1.02,42.25,8066.37,0.02,100.0,41
1,109,0.8419,445.0,549.88,1.02,42.32,8063.48,0.02,100.0,40
1,110,0.7019,491.19,607.79,1.07,44.57,8049.06,0.03,100.0,39
1,111,0.0017,518.67,643.25,1.3,47.84,8117.58,0.03,100.0,38
1,112,0.84,445.0,549.91,1.02,42.35,8069.51,0.02,100.0,37
1,113,0.0,518.67,642.6,1.3,47.67,8119.3,0.03,100.0,36
1,114,0.84,449.44,556.07,1.02,42.28,8057.58,0.02,100.0,35
1,115,0.7013,491.19,608.28,1.07,44.62,8047.51,0.02,100.0,34
1,116,0.62,462.54,536.47,0.94,36.86,7864.76,0.02,84.93,33
1,117,0.6219,462.54,536.52,0.94,37.01,7866.28,0.02,84.93,32
1,118,0.84,449.44,555.76,1.02,42.21,8050.26,0.02,100.0,31
1,119,0.62,462.54,537.29,0.94,36.85,7861.75,0.02,84.93,30
1,120,0.8409,449.44,555.99,1.02,42.44,8058.79,0.02,100.0,29
