id,cycle,setting2,s1,s10,s11,s19,RUL
1,1,0.84,449.44,1.02,42.02,100.0,148
1,2,0.8408,445.0,1.02,42.2,100.0,147
1,3,0.6218,462.54,0.94,36.69,84.93,146
1,4,0.8416,445.0,1.02,41.96,100.0,145
1,5,0.6203,462.54,0.94,36.89,84.93,144
1,6,0.6205,462.54,0.94,36.78,84.93,143
1,7,0.8409,445.0,1.02,42.19,100.0,142
1,8,0.7002,491.19,1.08,44.27,100.0,141
1,9,0.8407,445.0,1.02,42.3,100.0,140
1,10,0.84,445.0,1.02,42.02,100.0,139
1,11,0.84,445.0,1.02,42.05,100.0,138
1,12,0.001,518.67,1.3,47.34,100.0,137
1,13,0.7,491.19,1.08,44.43,100.0,136
1,14,0.8407,445.0,1.02,42.11,100.0,135
1,15,0.2513,489.05,1.26,45.49,100.0,134
1,16,0.8419,449.44,1.02,41.74,100.0,133
1,17,0.6217,462.54,0.94,36.73,84.93,132
1,18,0.8404,449.44,1.02,41.98,100.0,131
1,19,0.84,445.0,1.02,42.02,100.0,130
1,20,0.7015,491.19,1.08,44.43,100.0,129
1,21,0.8403,445.0,1.02,42.28,100.0,128
1,22,0.8419,445.0,1.02,42.01,100.0,127
1,23,0.8416,445.0,1.02,41.97,100.0,126
1,24,0.84,445.0,1.02,42.03,100.0,125
1,25,0.84,445.0,1.02,42.25,100.0,124
1,26,0.8402,445.0,1.02,42.16,100.0,123
1,27,0.6206,462.54,0.94,36.77,84.93,122
1,28,0.0,518.67,1.3,47.65,100.0,121
1,29,0.0,518.67,1.3,47.33,100.0,120
1,30,0.7011,491.19,1.08,44.35,100.0,119
1,31,0.25,489.05,1.26,45.41,100.0,118
1,32,0.25,489.05,1.26,45.32,100.0,117
1,33,0.0,518.67,1.3,47.61,100.0,116
1,34,0.0008,518.67,1.3,47.57,100.0,115
1,35,0.251,489.05,1.26,45.48,100.0,114
1,36,0.62,462.54,0.94,36.91,84.93,113
1,37,0.25,489.05,1.26,45.41,100.0,112
1,38,0.62,462.54,0.94,36.82,84.93,111
1,39,0.6211,462.54,0.94,36.57,84.93,110
1,40,0.25,489.05,1.26,45.57,100.0,109
1,41,0.6211,462.54,0.94,36.95,84.93,108
1,42,0.84,449.44,1.02,41.9,100.0,107
1,43,0.8409,445.0,1.02,41.95,100.0,106
1,44,0.0,518.67,1.3,47.65,100.0,105
1,45,0.84,449.44,1.02,41.91,100.0,104
1,46,0.84,445.0,1.02,42.15,100.0,103
1,47,0.25,489.05,1.26,45.52,100.0,102
1,48,0.0014,518.67,1.3,47.54,100.0,101
1,49,0.8402,445.0,1.02,42.11,100.0,100
1,50,0.8401,449.44,1.02,41.93,100.0,99
1,51,0.621,462.54,0.94,36.63,84.93,98
1,52,0.8404,445.0,1.02,42.04,100.0,97
1,53,0.25,489.05,1.26,45.29,100.0,96
1,54,0.0,518.67,1.3,47.64,100.0,95
1,55,0.0,518.67,1.3,47.52,100.0,94
1,56,0.84,445.0,1.02,42.23,100.0,93
1,57,0.7003,491.19,1.08,44.4,100.0,92
1,58,0.84,449.44,1.02,42.06,100.0,91
1,59,0.8412,445.0,1.02,42.2,100.0,90
1,60,0.62,462.54,0.94,36.74,84.93,89
1,61,0.7,491.19,1.07,44.47,100.0,88
1,62,0.0,518.67,1.3,47.54,100.0,87
1,63,0.8413,445.0,1.02,42.27,100.0,86
1,64,0.8406,449.44,1.02,42.2,100.0,85
1,65,0.0006,518.67,1.3,47.55,100.0,84
1,66,0.84,449.44,1.02,42.25,100.0,83
1,67,0.25,489.05,1.26,45.64,100.0,82
1,68,0.0,518.67,1.3,47.58,100.0,81
1,69,0.0009,518.67,1.3,47.63,100.0,80
1,70,0.8411,445.0,1.02,42.04,100.0,79
1,71,0.7,491.19,1.08,44.5,100.0,78
1,72,0.62,462.54,0.94,36.92,84.93,77
1,73,0.6217,462.54,0.94,36.85,84.93,76
1,74,0.702,491.19,1.08,44.36,100.0,75
1,75,0.62,462.54,0.94,36.81,84.93,74
1,76,0.62,462.54,0.94,36.81,84.93,73
1,77,0.8405,445.0,1.02,42.07,100.0,72
1,78,0.62,462.54,0.94,36.71,84.93,71
1,79,0.84,445.0,1.02,42.15,100.0,70
1,80,0.84,445.0,1.02,42.19,100.0,69
1,81,0.7,491.19,1.08,44.52,100.0,68
1,82,0.0008,518.67,1.3,47.84,100.0,67
1,83,0.84,445.0,1.02,42.07,100.0,66
1,84,0.84,445.0,1.02,42.26,100.0,65
1,85,0.0011,518.67,1.3,47.68,100.0,64
1,86,0.84,445.0,1.02,42.1,100.0,63
1,87,0.8413,445.0,1.02,42.3,100.0,62
1,88,0.8416,449.44,1.02,42.1,100.0,61
1,89,0.2514,489.05,1.26,45.65,100.0,60
1,90,0.0,518.67,1.3,47.61,100.0,59
1,91,0.62,462.54,0.94,36.97,84.93,58
